fecha,id_producto,cantidad,precio
2025-01-03,1355,1,127
2025-01-03,1255,1,69
2025-01-03,52,1,85
2025-01-03,1800,1,43
2025-01-03,614,3,92
2025-01-03,1127,1,95
2025-01-03,798,1,32
2025-01-03,1309,1,70
2025-01-03,31,1,186
2025-01-03,1321,1,18
2025-01-03,1810,1,12
2025-01-03,1211,1,28
2025-01-03,1446,1,40
2025-01-03,1668,1,120
2025-01-03,1811,1,280
2025-01-03,719,1,12
2025-01-03,1309,1,70
2025-01-03,1798,1,28
2025-01-03,295,1,134
2025-01-03,1848,2,85
2025-01-03,1397,2,95
2025-01-03,434,1,189
2025-01-03,217,1,140
2025-01-03,686,2,95
2025-01-03,737,1,198
2025-01-03,189,1,126
2025-01-03,1800,1,43
2025-01-03,3195,2,70
2025-01-03,1838,1,25
2025-01-03,52,1,85
2025-01-03,51,1,89
2025-01-03,68,1,83
2025-01-03,1538,1,26
2025-01-03,1420,1,45
2025-01-03,1649,1,200
2025-01-03,410,1,80
2025-01-03,175,1,108
2025-01-03,1662,1,137
2025-01-03,3179,1,85
2025-01-03,380,1,95
2025-01-03,580,1,75
2025-01-03,333,1,62
2025-01-03,460,1,72
2025-01-03,1701,1,188
2025-01-03,473,1,58
2025-01-03,138,1,80
2025-01-03,1802,1,40
2025-01-03,1800,1,43
2025-01-03,1027,2,38
2025-01-03,1803,1,48
2025-01-03,767,1,100
2025-01-03,217,1,140
2025-01-16,107,2,20
2025-01-16,741,1,24
2025-01-16,235,1,40
2025-01-16,440,1,83
2025-01-16,726,1,135
2025-01-16,1235,1,135
2025-01-16,904,1,30
2025-01-16,1216,1,50
2025-01-16,3129,1,750
2025-01-16,715,1,49
2025-01-16,1649,2,10
2025-01-16,30,1,210
2025-01-16,1398,1,82
2025-01-16,720,1,34
2025-01-16,869,1,17
2025-01-16,1828,1,47
2025-01-16,863,1,17
2025-01-16,1798,4,28
2025-01-16,527,1,99
2025-01-16,478,1,300
2025-01-16,1809,1,37
2025-01-16,3209,1,50
2025-01-16,719,1,15
2025-01-16,1490,1,42
2025-01-16,1422,3,97
2025-01-16,52,1,85
2025-01-16,158,8,12
2025-01-16,466,1,220
2025-01-16,1810,1,12
2025-01-16,1165,2,5
2025-01-16,338,1,84
2025-01-16,754,1,150
2025-01-16,1244,2,84
2025-01-16,1726,3,62
2025-01-16,427,1,59
2025-01-16,429,1,59
2025-01-16,713,1,178
2025-01-16,693,2,92
2025-01-16,1353,1,140
2025-01-16,1795,1,126
2025-01-16,1819,1,126
2025-01-16,225,1,70
2025-01-16,1441,1,80
2025-01-16,1507,1,104
2025-01-16,1371,1,65
2025-01-16,1813,1,22
2025-01-16,3135,1,108
2025-01-16,170,1,123
2025-01-16,217,1,144
2025-01-16,1235,1,135
2025-01-16,78,1,42
2025-01-16,1284,1,94
2025-01-16,90,1,45
2025-01-16,1272,1,150
2025-01-16,1596,1,68
2025-01-16,1799,2,25
2025-01-16,1802,2,40
2025-01-16,980,1,72
2025-01-16,1802,1,40
2025-01-16,1798,1,28
2025-01-16,467,1,220
2025-01-16,1255,1,69
2025-01-16,3116,1,22
2025-01-16,3224,1,22
2025-01-16,288,1,25
2025-01-16,1289,1,40
2025-01-16,920,1,49
2025-01-16,1637,1,42
2025-01-16,1413,1,65
2025-01-16,1000,1,85
2025-01-16,344,1,72
2025-01-16,1649,3,10
2025-01-16,1235,2,36
2025-01-16,719,1,15
2025-01-16,552,2,5
2025-01-16,1090,1,49
2025-01-16,1349,1,45
2025-01-16,277,1,89
2025-01-16,1637,1,42
2025-01-16,1810,1,12
2025-01-16,1574,1,95
2025-01-16,238,1,102
2025-01-16,883,1,17
2025-01-16,865,1,17
2025-01-16,3152,1,80
2025-01-16,472,1,20
2025-01-16,865,1,17
2025-01-16,1099,1,60
2025-01-16,552,2,5
2025-01-16,1804,2,33
2025-01-16,3116,1,22
2025-01-16,1799,1,25
2025-01-16,721,1,37
2025-01-16,1798,1,28
2025-01-10,334,1,25
2025-01-10,1649,2,10
2025-01-10,1589,1,68
2025-01-10,438,1,72
2025-01-10,1637,1,42
2025-01-10,1137,1,21
2025-01-10,793,20,1
2025-01-10,1402,1,220
2025-01-10,1453,1,42
2025-01-10,1380,1,125
2025-01-10,1255,1,69
2025-01-10,362,1,23
2025-01-10,1309,1,70
2025-01-10,217,1,140
2025-01-10,680,1,86
2025-01-10,1235,2,135
2025-01-10,939,1,26
2025-01-10,3164,1,40
2025-01-10,451,1,86
2025-01-10,1255,1,69
2025-01-10,1649,2,10
2025-01-10,1649,2,10
2025-01-10,552,2,5
2025-01-10,217,1,140
2025-01-10,468,1,220
2025-01-10,493,1,234
2025-01-10,659,2,36
2025-01-10,1539,1,42
2025-01-10,800,1,40
2025-01-10,240,1,128
2025-01-10,779,1,125
2025-01-10,1665,1,75
2025-01-10,1799,1,25
2025-01-10,217,1,140
2025-01-10,1826,1,75
2025-01-10,1802,1,40
2025-01-10,1422,1,97
2025-01-10,1382,1,74
2025-01-10,1636,1,133
2025-01-10,83,1,40
2025-01-10,460,1,72
2025-01-10,1800,1,43
2025-01-10,1338,1,112
2025-01-10,238,1,102
2025-01-10,56,1,140
2025-01-10,380,1,95
2025-01-10,256,1,10
2025-01-10,1309,1,70
2025-01-10,1714,1,67
2025-01-10,2094,1,18
2025-01-10,1327,1,365
2025-01-10,1397,1,95
2025-01-10,1422,5,97
2025-01-10,591,1,55
2025-01-10,1798,1,28
2025-01-10,226,1,118
2025-01-10,1810,1,12
2025-01-10,1590,1,68
2025-01-10,1592,1,68
2025-01-10,288,1,25
2025-01-10,1813,1,22
2025-01-10,217,1,140
2025-01-10,1080,1,105
2025-01-10,505,1,92
2025-01-10,3148,1,17
2025-01-10,3154,1,17
2025-01-10,1225,1,20
2025-01-10,737,1,198
2025-01-10,754,1,150
2025-01-10,1153,1,138
2025-01-10,920,1,49
2025-01-10,3162,1,175
2025-01-10,1050,1,168
2025-01-10,1108,1,47
2025-01-10,1803,1,48
2025-01-10,719,1,12
2025-01-10,1048,1,61
2025-01-10,1282,1,87
2025-01-10,1282,1,87
2025-01-10,71,1,45
2025-01-10,1649,2,10
2025-01-10,1809,1,37
2025-01-10,1504,1,35
2025-01-10,144,2,36
2025-01-10,1798,1,28
2025-01-10,1321,1,18
2025-01-10,1816,2,3
2025-01-10,1164,1,75
2025-01-10,1255,1,69
2025-01-10,1327,1,365
2025-01-10,1169,4,25
2025-01-10,1848,2,85
2025-01-10,1809,1,37
2025-01-10,20,1,237
2025-01-16,217,1,144
2025-01-16,1051,1,91
2025-01-16,946,1,80
2025-01-16,946,1,80
2025-01-16,83,1,40
2025-01-16,299,1,85
2025-01-16,1309,2,70
2025-01-16,1446,1,40
2025-01-16,1484,1,84
2025-01-16,168,1,15
2025-01-16,3186,2,105
2025-01-16,217,2,144
2025-01-16,226,1,118
2025-01-16,724,1,38
2025-01-16,719,1,15
2025-01-16,1446,1,40
2025-01-16,1255,1,69
2025-01-16,1312,1,214
2025-01-16,526,1,45
2025-01-16,803,1,15
2025-01-16,1309,1,70
2025-01-16,366,1,42
2025-01-17,1813,2,22
2025-01-17,1799,1,25
2025-01-17,545,1,72
2025-01-17,1333,1,132
2025-01-17,344,1,72
